date,home_team,away_team,game_id,time,location,home_score,away_score,box_score_url
2026-07-14,7th Floor Crew,Black Mambas,11937,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11937
2026-07-16,The Big Units,7th Floor Crew,11938,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11938
2026-07-17,Black Mambas,The Big Papi's,11939,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11939
2026-07-18,The Sultans Of Swat,The Ryan Express,11940,9:00 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11940
2026-07-18,Wild Things,Muscle Hamsters,11941,10:30 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11941
2026-07-18,Nails,Honey Badgers,11942,12:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11942
2026-07-19,Lunch Pail Guys,Bash Brothers,11943,4:30 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11943
2026-07-19,The Sultans Of Swat,The Big Units,11944,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11944
2026-07-21,Wild Things,The Big Papi's,11945,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11945
2026-07-23,Nails,7th Floor Crew,11946,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11946
2026-07-24,Lunch Pail Guys,Black Mambas,11947,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11947
2026-07-25,The Ryan Express,Honey Badgers,11948,9:00 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11948
2026-07-25,Bash Brothers,Muscle Hamsters,11949,10:30 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11949
2026-07-25,Lunch Pail Guys,The Big Units,11950,12:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11950
2026-07-26,The Big Papi's,Nails,11951,4:30 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11951
2026-07-26,7th Floor Crew,The Sultans Of Swat,11952,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11952
2026-07-28,Wild Things,Bash Brothers,11953,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11953
2026-07-30,Muscle Hamsters,Black Mambas,11954,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11954
2026-07-31,Honey Badgers,The Ryan Express,11955,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11955
2026-08-01,Honey Badgers,The Big Units,11956,9:00 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11956
2026-08-01,The Big Papi's,Muscle Hamsters,11957,10:30 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11957
2026-08-02,Wild Things,Black Mambas,11958,4:30 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11958
2026-08-02,Nails,The Ryan Express,11959,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11959
2026-08-04,7th Floor Crew,Bash Brothers,11960,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11960
2026-08-06,The Big Units,Nails,11961,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11961
2026-08-07,The Big Papi's,Bash Brothers,11962,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11962
2026-08-08,The Sultans Of Swat,Wild Things,11963,9:00 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11963
2026-08-08,Lunch Pail Guys,Muscle Hamsters,11964,10:30 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11964
2026-08-08,7th Floor Crew,The Ryan Express,11965,12:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11965
2026-08-09,Black Mambas,Honey Badgers,11966,4:30 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11966
2026-08-09,Wild Things,The Big Units,11967,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11967
2026-08-10,The Sultans Of Swat,Lunch Pail Guys,11968,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11968
2026-08-13,The Big Papi's,Lunch Pail Guys,11969,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11969
2026-08-14,Honey Badgers,The Sultans Of Swat,11970,6:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11970
2026-08-15,Bash Brothers,Nails,11971,9:00 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11971
2026-08-15,Black Mambas,7th Floor Crew,11972,10:30 AM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11972
2026-08-15,Muscle Hamsters,The Ryan Express,11973,12:00 PM,TBD,,,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11973
