season,player_name,canonical_player_name,team_name,reason,player_url
2024,sub auerbach,SUB AUERBACH,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=sub_auerbach
2024,sub Mal,SUB MAL,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=sub_Mal
2024,sub esperson,SUB ESPERSON,ULTIMATE WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ULTIMATE WARRIORS?player=sub_esperson
2024,sub seth,SUB SETH,DEGENERATION X,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_DEGENERATION X?player=sub_seth
2024,sub - Chuck Peleo,SUB CHUCK PELEO,JUNKYARD DOGS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_JUNKYARD DOGS?player=sub_-_Chuck_Peleo
2024,sub chris,SUB CHRIS,MR T'S,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_MR T'S?player=sub_chris
2024,sub spoto,SUB SPOTO,MR T'S,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_MR T'S?player=sub_spoto
2024,Sub-Alex,SUB ALEX,NWO WOLFPACK,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_NWO WOLFPACK?player=Sub-Alex
2024,sub Spiels,SUB SPIELS,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub__Spiels
2024,sub-auerbach,SUB AUERBACH,SAVAGES,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_SAVAGES?player=sub-auerbach
2024,Sub - DelGizzi,SUB DELGIZZI,DEGENERATION X,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_DEGENERATION X?player=Sub_-_DelGizzi
2024,sub auerbach,SUB AUERBACH,BUSHWACKERS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_BUSHWACKERS?player=sub_auerbach
2024,sub - Bohel,SUB BOHEL,JUNKYARD DOGS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_JUNKYARD DOGS?player=sub_-_Bohel
2024,sub heismeyer,SUB HEISMEYER,JUNKYARD DOGS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_JUNKYARD DOGS?player=sub_heismeyer
2024,sub bernstein,SUB BERNSTEIN,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=sub_bernstein
2024,sub petro,SUB PETRO,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=sub_petro
2024,sub dean,SUB DEAN,RAZOR RAMON,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_RAZOR RAMON?player=sub_dean
2024,sub rj,SUB RJ,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub_rj
2024,Sub Greg A,SUB GREG A,SAVAGES,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_SAVAGES?player=Sub_Greg_A
2024,Sub Avallone,SUB AVALLONE,SAVAGES,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_SAVAGES?player=Sub_Avallone
2023,sub spotto,SUB SPOTTO,Macon Bacon,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Macon Bacon?player=sub_spotto
2023,sub bernstein,SUB BERNSTEIN,Savanna Bananas,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Savanna Bananas?player=sub_bernstein
2023,sub- Alec,SUB ALEC,Ghost Pirates,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Ghost Pirates?player=sub-_Alec
2023,sub debo,SUB DEBO,Trash Pandas,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Trash Pandas?player=sub_debo
2023,sub spotto,SUB SPOTTO,Mud Hens,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Mud Hens?player=sub_spotto
2023,sub spoto,SUB SPOTO,Savanna Bananas,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Savanna Bananas?player=sub_spoto
2023,sub smith,SUB SMITH,Savanna Bananas,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Savanna Bananas?player=sub_smith
2023,sub - Auerbach,SUB AUERBACH,Space Cowboys,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Space Cowboys?player=sub_-_Auerbach
2023,Sub Mal,SUB MAL,Yard Goats,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Yard Goats?player=Sub_Mal
2023,Sub 1,SUB 1,Somerset Patriots,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Somerset Patriots?player=Sub_1
2023,Sub,SUB,Space Cowboys,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Space Cowboys?player=Sub
2023,Sub,SUB,Savanna Bananas,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Savanna Bananas?player=Sub
2023,Sub 3,SUB 3,Somerset Patriots,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Somerset Patriots?player=Sub_3
2023,Sub - Mal Metz,SUB MAL METZ,Space Cowboys,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Space Cowboys?player=Sub_-_Mal_Metz
2023,sub Petro,SUB PETRO,Space Cowboys,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Space Cowboys?player=sub_Petro
2023,Sub 2,SUB 2,Somerset Patriots,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Somerset Patriots?player=Sub_2
2023,sub debo,SUB DEBO,Mud Hens,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Mud Hens?player=sub_debo
2023,sub Clay,SUB CLAY,Space Cowboys,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Space Cowboys?player=sub_Clay
2023,sub clay,SUB CLAY,Yard Goats,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Yard Goats?player=sub_clay
2023,sub auerbach,SUB AUERBACH,Savanna Bananas,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Savanna Bananas?player=sub_auerbach
2023,sub clay,SUB CLAY,Trash Pandas,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Trash Pandas?player=sub_clay
2023,sub bernstein,SUB BERNSTEIN,Yard Goats,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Yard Goats?player=sub_bernstein
2023,sub-ralph,SUB RALPH,Ghost Pirates,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Ghost Pirates?player=sub-ralph
2023,sub boeckel,SUB BOECKEL,Rail Riders,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Rail Riders?player=sub_boeckel
2023,Sub 4,SUB 4,Somerset Patriots,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Somerset Patriots?player=Sub_4
2023,sub max metz,SUB MAX METZ,Space Cowboys,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Space Cowboys?player=sub_max_metz
2023,sub Dean,SUB DEAN,Space Cowboys,manual_review_needed,http://www.turbostats.com/webcast/site/2/stats/softball/lvc/valhalla2023_Space Cowboys?player=sub_Dean
